fund,matched_fund,fund_confidence,form_d_firm_id,form_d_funds,cik_no_fund,form_adv_firm_id,form_adv_funds,crd_no_fund,firm_id
Rootsrated,,1.0,37344,Rootsrated,1657268.0,53912,,310188,
Finary,,1.0,112672,Finary,1863777.0,53912,,310188,
Atlas Fund Ii Series B,Inter Atlantic Fund Ii,0.9203166541110219,108742,Atlas Fund Ii Series B,1848542.0,5645,Inter Atlantic Fund Ii,129122,
Hannan Metals,,1.0,28577,Hannan Metals,1123267.0,53912,,310188,
Real Holdings Investment Capital Trust,Coin Capital Holdings,0.8676589627449023,95553,Real Holdings Investment Capital Trust,1833322.0,45749,Coin Capital Holdings,289961,
Wework Property Investors Fund B,,1.0,38978,Wework Property Investors Fund B,1695718.0,53912,,310188,
Hooligans,,1.0,129031,Hooligans,1885513.0,53912,,310188,
Pinnacle West Capital,,1.0,26518,Pinnacle West Capital,764622.0,53912,,310188,
Aqr Style Premia Us Long Only Equity Beta  Fund,,0.9999999999999999,41867,Aqr Style Premia Us Long Only Equity Beta  Fund,1735808.0,53912,,310188,
Mic Capital Partners Brazil Special Opportunities ,Special Credit Opportunities Parallel Ii,0.8818219866867166,68845,Mic Capital Partners Brazil Special Opportunities ,1790053.0,13253,Special Credit Opportunities Parallel Ii,107105,246.0
Ardsley World Information Technology Fund,,0.9999999999999999,65882,Ardsley World Information Technology Fund,1759337.0,53912,,310188,
International Select Investments,London International Investment Fund,0.7393088206002434,70411,International Select Investments,1355967.0,18937,London International Investment Fund,158764,
Condor Invest Scsp,,1.0,148521,Condor Invest Scsp,1912624.0,53912,,310188,
Royce Institutional Micro Cap Portfolio,,1.0,31935,Royce Institutional Micro Cap Portfolio,1461093.0,53912,,310188,
Eider Capital Debt Partners,Kayne Real Estate Debt Partners V,0.9724094928189528,38068,Eider Capital Debt Partners,1673844.0,6626,Kayne Real Estate Debt Partners V,104536,982.0
Avant Diagnostics,,1.0,24572,Avant Diagnostics,1451929.0,53912,,310188,
Dtz Jersey Holdings,,1.0,36268,Dtz Jersey Holdings,1628369.0,53912,,310188,
Patriot Software,,1.0,37593,Patriot Software,1665036.0,53912,,310188,
Hcp Absolute Return Fund Ai,Seix Multi Sector Absolute Return Fund,0.9458543204000935,58387,Hcp Absolute Return Fund Ai,1300112.0,11997,Seix Multi Sector Absolute Return Fund,146029,
Wolverine Technologies,Disruptive Technology Solutions Biotechnology,0.9116469253301202,78810,Wolverine Technologies,1424404.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Designline,,1.0,24400,Designline,1423239.0,53912,,310188,
Offline Media,,0.9999999999999999,73986,Offline Media,1588427.0,53912,,310188,
Agvend,Artgv,0.9662506238727976,150396,Agvend,1733761.0,5247,Artgv,150114,83.0
Remora Capital Partners I,Gs Capital Partners V,0.8433973173603143,134370,Remora Capital Partners I,1879742.0,5463,Gs Capital Partners V,361,7869.0
Almanac Fund I,Almanac Realty Securities V,0.8858161237697968,87967,Almanac Fund I,1732807.0,1742,Almanac Realty Securities V,156718,
Lacm Large Cap Alpha Fund,,0.9999999999999999,35333,Lacm Large Cap Alpha Fund,1599761.0,53912,,310188,
Keiphone,,0.9999999999999999,152815,Keiphone,1912683.0,53912,,310188,
Alkemei Nuts Fund A Series Of Assure Labs ,,0.9999999999999999,102527,Alkemei Nuts Fund A Series Of Assure Labs ,1842418.0,53912,,310188,
Tenet Fixed Income Fund,Highland Core Fixed Income Fund,0.8482298587244058,110993,Tenet Fixed Income Fund,1859487.0,1603,Highland Core Fixed Income Fund,104948,11646.0
Columbia Sc Investors,,0.9999999999999998,94911,Columbia Sc Investors,1830735.0,53912,,310188,
Axiom International Equity Fund,Scs International Equity Fund,0.697368205097016,28612,Axiom International Equity Fund,1127070.0,14846,Scs International Equity Fund,104702,237.0
East Austin ,,1.0,104453,East Austin ,1846673.0,53912,,310188,
Seed Round Capital Ventures I,Differential Venture Capital Fund Ii,0.9299725385216125,115439,Seed Round Capital Ventures I,1866361.0,29573,Differential Venture Capital Fund Ii,292813,
Lee Chen Capital,Lending Capital Fund,0.9415603542047597,36056,Lee Chen Capital,1620021.0,6409,Lending Capital Fund,122268,
Redstar Gold,,0.9999999999999999,90007,Redstar Gold,1177975.0,53912,,310188,
Players Impact Ventures Coin Acquisitions I,Literacyed Acquisition Company Ii,0.899093772618417,121473,Players Impact Ventures Coin Acquisitions I,1867629.0,56554,Literacyed Acquisition Company Ii,315097,
Sirios Liquid Alternatives Fund,,0.9999999999999999,71078,Sirios Liquid Alternatives Fund,1597000.0,53912,,310188,
Pe Fund I A Series Of Odx Investments,In Fund I A Series Of Chris Golda Investments,0.9449810659516813,149543,Pe Fund I A Series Of Odx Investments,1914890.0,50135,In Fund I A Series Of Chris Golda Investments,304833,
Goldfinch Invest Ib,,0.9999999999999999,79544,Goldfinch Invest Ib,1807188.0,53912,,310188,
Aerie Pharmaceuticals,,1.0,30065,Aerie Pharmaceuticals,1337553.0,53912,,310188,
Ofi Global: International Growth Fund,Vanguard International Growth Fund,0.853072808240095,33711,Ofi Global: International Growth Fund,1544117.0,11837,Vanguard International Growth Fund,105958,225.0
D Equity Asheville,,0.9999999999999999,45938,D Equity Asheville,1768879.0,53912,,310188,
