entity_name,formd_cik,firm_name,firm_crd,formd_cik,match_score,firm_id,firm_formd_value_id,form_adv_firm_id
Pgim Real Estate Us Debt Fund,,Pgim Real Estate Us Debt Fund,105676,,1.0,245.0,53882,7609
Pangea Fund I,,Pangea Fund I,319424,,1.0,,147072,60827
Gam Institutional Diversity,,Gam Institutional Diversity,110670,,1.0,142393.0,30514,6621
Donald Smith Futures Fund,,Donald Smith Futures Fund,104947,,1.0,8087.0,34409,13133
 Ventures,, Ventures,322559,,1.0,,62082,60788
Adams Street  Non Us Fund,,Adams Street  Non Us Fund,105496,,1.0,98.0,140690,12146
Ag Energy Credit Opportunities Fund,,Ag Energy Credit Opportunities Fund,131940,,1.0,168.0,36746,11617
Gt Special Opportunities Iii,,Gt Special Opportunities Iii,158837,,1.0,,33326,13409
Re Fund I A Series Of Chris Golda Investments,,Re Fund I A Series Of Chris Golda Investments,304833,,1.0,,82114,50135
Entrustpermal Special Opportunities Evergreen Fund,,Entrustpermal Special Opportunities Evergreen Fund,107940,,1.0,12422.0,72174,9350
Anchorage Short Credit Offshore Fund,,Anchorage Short Credit Offshore Fund,163779,,1.0,,62238,12032
Jonathan Stephens Capital Markets,,Jonathan Stephens Capital Markets,292212,,1.0,,68487,47821
Itasca Capital Partners,,Itasca Capital Partners,108417,,1.0,922.0,64056,8786
Ag Direct Lending Fund Ii Unlevered,,Ag Direct Lending Fund Ii Unlevered,131940,,1.0,168.0,64088,11617
Ag Capital Recovery Partners Europe Viii,,Ag Capital Recovery Partners Europe Viii,131940,,1.0,168.0,70427,11617
Coherence Capital Spectrum Fund Offshore,,Coherence Capital Spectrum Fund Offshore,162898,,1.0,,55474,14050
Ag Direct Lending Fund Ii,,Ag Direct Lending Fund Ii,131940,,1.0,168.0,64893,11617
Fidelis Investors Offshore,,Fidelis Investors Offshore,107738,,1.0,259.0,66906,3615
Advisors Hedge Fund,,Advisors Hedge Fund,122268,,1.0,,28381,6409
Hirtle Callaghan Special Opportunities Fund Closed End Series ,,Hirtle Callaghan Special Opportunities Fund Closed End Series ,105403,,1.0,3201.0,35645,1663
Palmer Square Opportunistic Credit Fund,,Palmer Square Opportunistic Credit Fund,155697,,1.0,6943.0,65467,6038
Mig Middletown Invest,,Mig Middletown Invest,315219,,1.0,,163059,56964
Sycamore Tree Opportunistic Credit Fund,,Sycamore Tree Opportunistic Credit Fund,311555,,1.0,,98553,55238
Yield Strategies Fund Ii,,Yield Strategies Fund Ii,106772,,1.0,839.0,68160,5569
Jewel Cg Private Equity Fund S,,Jewel Cg Private Equity Fund ,169394,,0.892,,66583,8408
Freedom Consumer Credit Fund Series B,,Freedom Consumer Credit Fund Series A,170229,,0.792,,38234,9187
Ourcrowd Investment In Pfc Iv,,Ourcrowd Investment In Pfc I,169475,,0.764,,88972,11005
Pgim Core Conservative Bond Fund Of The Prudential Trust Institutional Business Trust,,Pgim Core Conservative Bond Fund Of The Prudential Trust Company Institutional Business Trust,105676,,0.73,245.0,39128,7609
K Wellington Liquid Technology Fund,,K Wellington Liquid Technology Master Fund,123826,,0.7170000000000001,477.0,97175,7121
Ourcrowd Investment In Enverid Iv,,Ourcrowd Investment In Enverid V,169475,,0.704,,36300,11005
 Capital Fund,, Capital Fund I,300538,,0.6950000000000001,,29124,48944
Wellspring Opportunistic Credit Fund,,Wellspring Opportunistic Credit Master Fund,160617,,0.659,,36837,10797
Ourcrowd Investment In Nanol,,Ourcrowd Investment In Nanomed,169475,,0.656,,58124,11005
Ro Fund I A Series Of Angellist Funds,, Fund I A Series Of Angellist Funds,167700,,0.656,,111995,8051
Fi Fund I A Series Of Sajid Rahman Angel Funds,,Lo Fund I A Series Of Sajid Rahman Angel Funds,311027,,0.655,,111318,54575
Optima Discretionary Macro Fund,,The Optima Discretionary Macro Fund,299826,,0.652,142549.0,66329,48753
